,Artists,Song Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
228,yusuf / cat stevens,morning has broken,0.243,0.655,2,-4.597,0,0.0363,0.659,1.28e-06,0.0821,0.575,111.965
229,elton john,bennie and the jets - remastered 2014,0.709,0.62,2,-9.382,1,0.034,0.318,0.0,0.0426,0.936,93.723
230,simon & garfunkel,the boxer,0.321,0.0631,6,-21.616,0,0.0351,0.833,0.83,0.141,0.264,135.605
231,james taylor,your smiling face,0.512,0.771,4,-7.006,1,0.0402,0.168,0.0,0.0895,0.803,129.639
232,marvin hamlisch,nobody does it better,0.312,0.555,7,-10.05,1,0.0377,0.47,1.43e-06,0.084,0.491,118.235
233,stevie wonder,sir duke,0.579,0.419,0,-10.72,1,0.0346,0.625,0.0,0.0981,0.673,104.564
234,america,ventura highway,0.423,0.681,10,-9.756,1,0.0398,0.0592,0.000177,0.0889,0.56,110.461
235,the boomtown rats,i don't like mondays,0.57,0.529,5,-10.769,1,0.028,0.377,0.00509,0.203,0.934,123.273
236,dr. hook,when you're in love with a beautiful woman,0.666,0.55,10,-8.672,1,0.0612,0.573,1.84e-06,0.122,0.961,95.552
237,derek & the dominos,layla,0.471,0.021,10,-24.385,1,0.0366,0.931,1.19e-06,0.103,0.356,107.796
238,t. rex,get it on,0.632,0.59,5,-10.206,1,0.0305,0.346,0.0,0.24,0.953,130.287
239,dolly parton,jolene,0.251,0.868,1,-2.685,1,0.128,0.488,7.34e-06,0.814,0.599,177.13
240,todd rundgren,i saw the light - 2015 remaster,0.715,0.423,7,-12.663,0,0.0306,0.62,0.0,0.568,0.596,98.623
241,the knack,my sharona,0.569,0.896,3,-9.068,1,0.0634,0.0602,0.31,0.0723,0.711,137.292
242,bee gees,"jive talkin' - from ""saturday night fever"" soundtrack",0.4,0.48,7,-7.768,1,0.0295,0.346,3.1e-05,0.155,0.653,103.436
243,the o'jays,love train,0.632,0.686,0,-6.116,0,0.0395,0.437,0.0,0.193,0.65,121.414
244,stevie wonder,superstition,0.621,0.972,8,-3.791,1,0.0724,0.472,0.000585,0.195,0.866,155.113
245,carpenters,please mr. postman,0.539,0.406,0,-6.225,1,0.0261,0.351,5.1e-06,0.161,0.376,135.923
246,dolly parton,i will always love you,0.529,0.127,11,-16.066,1,0.0274,0.611,0.000109,0.237,0.578,63.05
247,suzi quatro,stumblin' in - 2017 remaster,0.482,0.721,0,-6.839,1,0.0321,0.731,0.0,0.189,0.557,95.263
248,leo sayer,you make me feel like dancing - remastered,0.446,0.92,9,-4.228,1,0.183,0.754,0.0514,0.239,0.656,203.034
249,frankie valli,grease - 2007 remaster,0.364,0.607,2,-9.791,1,0.125,0.451,0.0,0.251,0.598,79.987
250,gerry rafferty,right down the line,0.603,0.271,5,-10.083,1,0.0284,0.679,0.0,0.141,0.405,110.89
251,crystal gayle,don't it make my brown eyes blue,0.482,0.849,2,-9.198,1,0.0452,0.641,7.74e-06,0.0414,0.937,124.631
252,neil young,heart of gold - 2009 remaster,0.619,0.472,3,-11.999,0,0.0296,0.293,0.0,0.168,0.777,119.569
253,fleetwood mac,never going back again - 2004 remaster,0.79,0.41,0,-13.241,1,0.0343,0.263,0.00314,0.174,0.815,112.345
254,steely dan,reelin' in the years,0.574,0.542,7,-11.578,1,0.0657,0.212,0.000117,0.0645,0.977,129.646
255,bill withers,lovely day,0.502,0.333,7,-10.914,1,0.0264,0.699,0.0,0.222,0.729,96.982
256,electric light orchestra,don't bring me down,0.138,0.399,7,-8.756,1,0.0311,0.782,3.65e-06,0.188,0.296,179.93
257,abba,waterloo,0.259,0.241,2,-15.955,1,0.042,0.554,6.62e-06,0.0849,0.275,178.453
258,neil sedaka,laughter in the rain,0.535,0.797,3,-7.533,1,0.0459,0.48,3.42e-05,0.141,0.613,148.835
259,patti smith,because the night,0.249,0.66,0,-6.905,1,0.0342,0.504,0.0026,0.0891,0.435,149.813
260,barry manilow,copacabana (at the copa),0.864,0.346,4,-12.918,1,0.0365,0.277,0.00521,0.0514,0.964,105.164
261,fleetwood mac,landslide,0.396,0.286,6,-11.494,0,0.0283,0.548,8.51e-06,0.122,0.605,105.289
262,sister sledge,we are family,0.635,0.167,1,-12.998,1,0.0403,0.858,0.000999,0.213,0.246,83.768
263,elvis presley,always on my mind,0.553,0.738,0,-7.963,1,0.0457,0.213,0.0,0.339,0.759,138.602
264,lou reed,walk on the wild side,0.352,0.3,8,-9.282,1,0.0301,0.413,0.0,0.1,0.295,58.686
265,the rolling stones,brown sugar - 2009 remaster,0.515,0.496,4,-7.446,1,0.0324,0.265,0.0,0.182,0.651,153.582
266,supertramp,the logical song - remastered 2010,0.733,0.579,7,-8.442,1,0.033,0.573,2.11e-05,0.113,0.963,122.729
267,england dan & john ford coley,i'd really love to see you tonight - 2012 remaster,0.659,0.513,0,-7.186,1,0.0293,0.315,0.0,0.283,0.855,133.609
268,stevie wonder,isn't she lovely,0.661,0.557,4,-8.244,1,0.049,0.262,0.0,0.0557,0.957,125.445
269,jimmy cliff,you can get it if you really want,0.507,0.561,7,-10.472,1,0.0353,0.548,0.0,0.59,0.89,120.042
270,creedence clearwater revival,have you ever seen the rain,0.408,0.436,0,-7.712,1,0.0345,0.805,1.72e-06,0.305,0.474,175.024
271,seals and crofts,summer breeze,0.659,0.585,7,-8.189,1,0.0288,0.623,0.000213,0.348,0.784,104.111
272,cliff richard,we don't talk anymore - 2001 remaster,0.605,0.837,7,-10.059,1,0.114,0.754,4.11e-05,0.3,0.93,157.225
273,abba,sos,0.615,0.815,5,-7.128,1,0.0373,0.475,0.0,0.0964,0.765,150.733
274,eric clapton,i shot the sheriff,0.525,0.52,7,-11.725,1,0.0271,0.538,0.00569,0.111,0.523,112.554
275,commodores,three times a lady,0.708,0.545,6,-7.376,1,0.0502,0.648,0.0,0.121,0.935,135.241
276,billy ocean,love really hurts without you,0.721,0.567,10,-9.516,1,0.0389,0.221,0.0,0.465,0.914,116.643
277,the emotions,best of my love,0.628,0.593,0,-7.515,1,0.0279,0.508,0.0,0.104,0.488,114.944
278,stevie wonder,we can work it out,0.595,0.465,2,-8.412,0,0.026,0.102,0.0,0.0641,0.492,124.991
279,steely dan,do it again,0.168,0.326,5,-9.981,1,0.0324,0.721,0.0006,0.316,0.322,174.794
280,three dog night,joy to the world,0.523,0.48,3,-10.923,1,0.0492,0.214,0.0,0.0751,0.81,151.4
281,elton john,are you ready for love? - remastered,0.602,0.633,9,-9.756,1,0.0314,0.502,0.0,0.0614,0.931,98.995
282,the rolling stones,wild horses - 2009 mix,0.49,0.715,7,-5.549,1,0.0476,0.386,0.0,0.311,0.866,130.726
283,al green,let's stay together,0.822,0.332,1,-11.369,1,0.0506,0.834,0.0,0.11,0.834,110.802
284,thin lizzy,dancing in the moonlight (it's caught me in it's spotlight),0.593,0.354,9,-10.269,1,0.0288,0.733,0.0,0.527,0.793,124.63
285,barry white,"you're the first, the last, my everything - edit",0.604,0.51,11,-9.323,0,0.0544,0.903,2.19e-05,0.71,0.916,124.012
286,fleetwood mac,dreams - 2004 remaster,0.604,0.357,6,-11.419,1,0.0269,0.0311,0.0,0.0927,0.638,100.721
287,stevie wonder,i wish,0.252,0.507,2,-13.337,1,0.0442,0.00206,0.00057,0.325,0.816,196.494
288,bob dylan,knockin' on heaven's door,0.66,0.611,0,-10.309,1,0.0392,0.423,1.11e-05,0.107,0.749,113.898
289,billy joel,vienna,0.431,0.678,4,-7.945,1,0.0365,0.7,6.37e-06,0.199,0.633,135.919
290,the real thing,you to me are everything,0.467,0.783,8,-5.207,1,0.0528,0.139,0.0214,0.08,0.591,160.841
291,david bowie,heroes - 2017 remaster,0.39,0.31,5,-14.545,1,0.0676,0.794,0.0,0.379,0.584,177.515
292,steely dan,dirty work,0.374,0.991,9,-1.101,1,0.0813,0.38,0.000719,0.0929,0.51,95.105
293,bob seger,old time rock & roll,0.512,0.658,1,-9.972,0,0.0607,0.232,0.0,0.108,0.752,129.861
294,rod stewart,sailing,0.574,0.364,11,-9.672,0,0.0365,0.915,9.98e-06,0.137,0.398,112.094
295,steve miller band,the joker,0.311,0.0264,0,-21.644,1,0.037,0.731,0.00205,0.156,0.139,120.653
296,the beatles,let it be - remastered 2009,0.605,0.455,5,-8.903,0,0.0301,0.595,0.0,0.0816,0.678,106.825
297,john paul young,love is in the air,0.546,0.818,0,-4.89,1,0.031,0.0487,0.0,0.0983,0.756,138.561
298,bette midler,the rose,0.563,0.441,4,-9.902,1,0.0437,0.773,0.0,0.351,0.468,115.168
299,king harvest,dancing in the moonlight,0.528,0.482,9,-10.939,0,0.027,0.614,0.0,0.549,0.788,95.82
300,a-ha,take on me,0.653,0.334,9,-6.955,1,0.0313,0.411,3.47e-05,0.123,0.665,119.46
301,phil collins,a groovy kind of love,0.526,0.436,1,-6.02,1,0.0232,0.0981,7.69e-06,0.118,0.286,96.903
302,cyndi lauper,time after time,0.731,0.837,9,-8.673,1,0.0477,0.000287,0.15,0.0978,0.832,135.603
303,tina turner,what's love got to do with it,0.691,0.507,11,-10.23,1,0.0343,0.627,0.0,0.457,0.885,128.518
304,bruce springsteen,dancing in the dark,0.491,0.583,7,-10.964,1,0.0376,0.185,0.0,0.406,0.908,150.566
305,the police,every breath you take,0.59,0.355,9,-14.051,1,0.0352,0.48,0.0,0.0585,0.499,133.03
306,culture club,karma chameleon,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171
307,michael jackson,billie jean,0.669,0.616,11,-10.776,0,0.033,0.482,0.0,0.179,0.818,130.037
308,whitney houston,i wanna dance with somebody (who loves me),0.55,0.854,3,-5.968,1,0.036,0.661,0.0,0.112,0.965,159.231
309,bryan adams,summer of '69,0.484,0.312,2,-13.522,1,0.0535,0.724,1.65e-06,0.0601,0.598,205.981
310,"earth, wind & fire",let's groove,0.621,0.708,6,-9.057,1,0.0259,0.246,2e-06,0.143,0.624,110.533
311,george michael,faith - remastered,0.51,0.488,7,-10.304,1,0.0304,0.256,0.0,0.11,0.649,125.683
312,phil collins,you can't hurry love - 2016 remaster,0.423,0.384,9,-12.503,1,0.0315,0.729,4.11e-06,0.27,0.521,90.43
313,tina turner,the best,0.521,0.487,6,-7.525,0,0.0299,0.253,0.0,0.0579,0.483,117.072
314,queen,crazy little thing called love - remastered 2011,0.542,0.722,7,-5.065,1,0.0262,0.0516,1.18e-05,0.131,0.609,115.21
315,dolly parton,islands in the stream,0.703,0.563,0,-9.99,1,0.0294,0.374,0.0,0.0933,0.972,127.004
316,simple minds,don't you (forget about me) - remastered,0.606,0.457,6,-14.035,0,0.0497,0.713,2.53e-05,0.0747,0.813,92.033
317,u2,i still haven't found what i'm looking for - remastered 2007,0.405,0.488,4,-10.784,1,0.0678,0.415,0.0,0.0753,0.806,181.624
318,george harrison,got my mind set on you - remastered 2004,0.526,0.775,0,-6.05,1,0.0352,0.707,2.05e-05,0.217,0.962,80.106
319,dire straits,walk of life,0.747,0.226,7,-13.635,1,0.0414,0.908,0.000168,0.107,0.778,123.792
320,bruce springsteen,hungry heart,0.631,0.69,2,-6.676,1,0.0531,0.176,0.0,0.121,0.938,94.574
321,the police,every little thing she does is magic,0.63,0.711,10,-9.34,1,0.0472,0.299,0.0,0.0813,0.659,96.912
322,huey lewis & the news,the power of love,0.403,0.495,10,-6.888,0,0.0312,0.387,8.03e-06,0.147,0.38,132.912
323,starship,nothing's gonna stop us now,0.582,0.818,7,-4.281,1,0.0332,0.236,0.0,0.253,0.954,132.946
324,eric carmen,"hungry eyes - from ""dirty dancing"" soundtrack",0.524,0.519,6,-11.903,1,0.043,0.195,0.0,0.523,0.847,110.121
325,journey,don't stop believin',0.402,0.493,4,-9.99,1,0.0357,0.235,3.05e-05,0.229,0.692,124.103
326,erasure,a little respect - 2009 - remaster,0.485,0.378,3,-11.773,1,0.0337,0.831,0.0,0.103,0.528,92.928
327,elton john,i'm still standing,0.414,0.167,9,-16.519,1,0.0484,0.804,0.0,0.117,0.384,133.45
328,lionel richie,dancing on the ceiling,0.699,0.641,2,-7.564,1,0.0289,0.13,0.000218,0.0601,0.728,120.745
329,katrina & the waves,walking on sunshine,0.711,0.362,3,-10.851,0,0.0381,0.272,0.0,0.127,0.616,117.287
330,huey lewis & the news,stuck with you,0.493,0.688,7,-8.143,1,0.0321,0.0126,0.256,0.38,0.533,147.403
331,roxette,the look,0.366,0.317,1,-13.976,1,0.027,0.541,0.0,0.0865,0.398,94.108
332,billy joel,uptown girl,0.474,0.478,7,-8.951,1,0.0343,0.484,0.0,0.0833,0.831,120.326
333,the bangles,manic monday,0.641,0.703,9,-10.434,1,0.0518,0.397,0.00546,0.104,0.722,129.118
334,kenny loggins,"footloose - from ""footloose"" soundtrack",0.52,0.179,11,-21.976,0,0.0454,0.356,0.00344,0.131,0.407,155.746
335,elton john,i guess that's why they call it the blues,0.561,0.883,11,-1.737,0,0.0367,0.0405,0.0305,0.112,0.749,126.203
336,don henley,the boys of summer,0.54,0.53,4,-10.583,1,0.0361,0.614,0.0,0.198,0.896,143.453
337,genesis,invisible touch - remastered 2007,0.807,0.497,7,-10.656,1,0.0297,0.307,0.0327,0.043,0.765,114.524
338,lionel richie,all night long (all night) - single version,0.652,0.583,9,-7.811,1,0.038,0.412,0.0,0.119,0.744,138.134
339,pet shop boys,always on my mind,0.562,0.54,0,-7.875,1,0.0365,0.803,3.86e-06,0.106,0.793,134.676
340,george michael,i knew you were waiting (for me),0.396,0.686,5,-5.607,1,0.0341,0.725,1.04e-06,0.17,0.717,124.318
341,steve winwood,valerie,0.557,0.698,1,-7.471,0,0.039,0.472,0.0,0.057,0.677,112.479
342,philip bailey,easy lover,0.776,0.659,9,-7.767,1,0.051,0.434,0.0,0.0868,0.969,123.094
343,bruce hornsby,the way it is,0.495,0.629,4,-6.817,1,0.0431,0.695,0.0,0.164,0.545,118.515
344,the pointer sisters,jump (original mix),0.561,0.447,1,-11.389,1,0.0544,0.279,0.0,0.319,0.729,117.784
345,elton john,nikita,0.619,0.603,9,-9.481,1,0.0342,0.712,0.0,0.0721,0.958,127.433
346,bruce springsteen,glory days,0.693,0.29,8,-17.501,1,0.0334,0.706,1.49e-05,0.137,0.92,121.795
347,belinda carlisle,heaven is a place on earth,0.75,0.444,4,-8.63,1,0.0403,0.12,3.69e-06,0.118,0.849,111.919
348,bill medley,"(i've had) the time of my life - from ""dirty dancing"" soundtrack",0.63,0.519,9,-10.997,1,0.0528,0.225,4.3e-06,0.0974,0.502,143.942
349,pretenders,don't get me wrong - 2007 remaster,0.487,0.464,4,-9.821,1,0.03,0.0666,0.00531,0.105,0.851,121.242
350,u2,pride (in the name of love) - remastered 2009,0.346,0.716,0,-10.001,1,0.0735,0.571,0.0,0.189,0.904,184.499
351,cher,if i could turn back time,0.439,0.488,11,-14.464,1,0.0615,0.702,0.000339,0.16,0.629,93.017
352,toto,rosanna,0.493,0.467,1,-11.183,1,0.0289,0.757,0.0,0.388,0.731,110.553
353,robert palmer,addicted to love,0.46,0.389,0,-11.603,1,0.031,0.349,0.0,0.0533,0.606,123.213
354,john parr,st. elmos fire (man in motion),0.725,0.327,0,-17.714,1,0.0387,0.113,0.326,0.214,0.688,110.438
355,wham!,wake me up before you go-go,0.456,0.47,2,-9.564,1,0.0294,0.513,3.76e-05,0.444,0.639,120.336
356,fleetwood mac,everywhere,0.581,0.696,9,-8.75,1,0.108,0.673,0.0,0.322,0.932,160.891
357,paul simon,you can call me al,0.658,0.657,0,-7.792,1,0.0482,0.592,9.5e-06,0.08,0.888,157.269
358,billy ocean,"get outta my dreams, get into my car",0.543,0.41,8,-13.253,1,0.0268,0.157,0.0,0.0996,0.817,95.363
359,queen,under pressure - remastered 2011,0.508,0.774,2,-5.973,1,0.0321,0.0586,4.87e-06,0.063,0.942,178.946
360,dan hartman,i can dream about you,0.562,0.779,7,-6.705,1,0.0592,0.363,0.0292,0.066,0.967,119.602
361,fleetwood mac,little lies - 2017 remaster,0.499,0.595,4,-10.028,1,0.0384,0.258,0.0,0.487,0.813,120.521
362,starship,we built this city,0.257,0.338,4,-12.902,1,0.0357,0.736,0.0,0.252,0.544,207.356
363,glenn frey,"the heat is on - from ""beverly hills cop"" soundtrack",0.484,0.538,7,-9.218,1,0.0296,0.00306,3.54e-05,0.0711,0.498,102.073
364,crowded house,don't dream it's over,0.623,0.156,6,-15.098,1,0.0308,0.912,0.0,0.141,0.329,97.235
365,madonna,like a prayer,0.757,0.725,2,-7.259,1,0.0275,0.399,0.0,0.108,0.965,122.439
366,john farnham,you're the voice,0.603,0.596,9,-8.029,1,0.0728,0.395,2.31e-06,0.451,0.502,128.129
367,toto,africa,0.389,0.745,3,-6.998,1,0.0384,0.777,0.00159,0.143,0.271,83.037
368,prince,purple rain,0.623,0.709,1,-9.818,0,0.0636,0.102,0.0,0.0967,0.948,122.394
369,abba,the winner takes it all,0.239,0.618,0,-8.464,1,0.033,0.0305,0.0,0.721,0.683,197.499
370,madonna,papa don't preach,0.517,0.692,1,-7.273,0,0.0246,0.253,0.0,0.172,0.476,107.958
371,fine young cannibals,she drives me crazy,0.805,0.558,0,-5.226,1,0.041,0.164,2.2e-05,0.0546,0.965,114.95
372,laura branigan,gloria,0.636,0.893,3,-6.311,1,0.047,0.674,0.00143,0.176,0.887,129.664
373,cyndi lauper,girls just want to have fun,0.546,0.399,4,-9.378,1,0.027,0.361,3.18e-06,0.0995,0.301,97.142
374,mike & the mechanics,the living years,0.192,0.392,5,-11.667,1,0.0328,0.326,0.000199,0.248,0.391,172.312
375,madonna,holiday,0.281,0.212,6,-15.513,1,0.031,0.86,7.73e-05,0.119,0.195,95.555
376,whitesnake,here i go again - 2018 remaster,0.451,0.818,2,-8.124,1,0.0439,0.135,2.92e-05,0.052,0.755,124.532
377,bon jovi,livin' on a prayer,0.595,0.643,5,-9.275,1,0.0365,0.76,0.0,0.538,0.73,135.633
378,kim carnes,bette davis eyes,0.243,0.655,2,-4.597,0,0.0363,0.659,1.28e-06,0.0821,0.575,111.965
379,inxs,new sensation,0.709,0.62,2,-9.382,1,0.034,0.318,0.0,0.0426,0.936,93.723
380,roy orbison,you got it,0.321,0.0631,6,-21.616,0,0.0351,0.833,0.83,0.141,0.264,135.605
381,phil collins,against all odds (take a look at me now) - 2016 remaster,0.512,0.771,4,-7.006,1,0.0402,0.168,0.0,0.0895,0.803,129.639
382,the rolling stones,start me up - remastered 2009,0.312,0.555,7,-10.05,1,0.0377,0.47,1.43e-06,0.084,0.491,118.235
383,bryan adams,run to you,0.579,0.419,0,-10.72,1,0.0346,0.625,0.0,0.0981,0.673,104.564
384,heart,alone,0.423,0.681,10,-9.756,1,0.0398,0.0592,0.000177,0.0889,0.56,110.461
385,the waterboys,the whole of the moon - 2004 remastered version,0.57,0.529,5,-10.769,1,0.028,0.377,0.00509,0.203,0.934,123.273
386,the human league,don't you want me,0.666,0.55,10,-8.672,1,0.0612,0.573,1.84e-06,0.122,0.961,95.552
387,alannah myles,black velvet,0.471,0.021,10,-24.385,1,0.0366,0.931,1.19e-06,0.103,0.356,107.796
388,steve winwood,higher love - single version,0.632,0.59,5,-10.206,1,0.0305,0.346,0.0,0.24,0.953,130.287
389,queen,a kind of magic - remastered 2011,0.251,0.868,1,-2.685,1,0.128,0.488,7.34e-06,0.814,0.599,177.13
390,the proclaimers,i'm gonna be (500 miles),0.715,0.423,7,-12.663,0,0.0306,0.62,0.0,0.568,0.596,98.623
391,texas,i don't want a lover,0.569,0.896,3,-9.068,1,0.0634,0.0602,0.31,0.0723,0.711,137.292
392,abba,super trouper,0.4,0.48,7,-7.768,1,0.0295,0.346,3.1e-05,0.155,0.653,103.436
393,the b-52's,love shack,0.632,0.686,0,-6.116,0,0.0395,0.437,0.0,0.193,0.65,121.414
394,dolly parton,9 to 5,0.621,0.972,8,-3.791,1,0.0724,0.472,0.000585,0.195,0.866,155.113
395,climie fisher,love changes (everything),0.539,0.406,0,-6.225,1,0.0261,0.351,5.1e-06,0.161,0.376,135.923
396,the police,"de do do do, de da da da",0.529,0.127,11,-16.066,1,0.0274,0.611,0.000109,0.237,0.578,63.05
397,u2,with or without you - remastered,0.482,0.721,0,-6.839,1,0.0321,0.731,0.0,0.189,0.557,95.263
398,the communards,don't leave me this way (with sarah jane morris),0.446,0.92,9,-4.228,1,0.183,0.754,0.0514,0.239,0.656,203.034
399,inxs,never tear us apart,0.364,0.607,2,-9.791,1,0.125,0.451,0.0,0.251,0.598,79.987
400,ub40,i got you babe,0.603,0.271,5,-10.083,1,0.0284,0.679,0.0,0.141,0.405,110.89
401,joe cocker,up where we belong,0.482,0.849,2,-9.198,1,0.0452,0.641,7.74e-06,0.0414,0.937,124.631
402,daryl hall & john oates,maneater,0.619,0.472,3,-11.999,0,0.0296,0.293,0.0,0.168,0.777,119.569
403,billy joel,we didn't start the fire,0.79,0.41,0,-13.241,1,0.0343,0.263,0.00314,0.174,0.815,112.345
404,billy ocean,"when the going gets tough, the tough get going",0.574,0.542,7,-11.578,1,0.0657,0.212,0.000117,0.0645,0.977,129.646
405,u2,where the streets have no name - remastered,0.502,0.333,7,-10.914,1,0.0264,0.699,0.0,0.222,0.729,96.982
406,michael jackson,the way you make me feel - 2012 remaster,0.138,0.399,7,-8.756,1,0.0311,0.782,3.65e-06,0.188,0.296,179.93
407,peter gabriel,sledgehammer,0.259,0.241,2,-15.955,1,0.042,0.554,6.62e-06,0.0849,0.275,178.453
408,bruce springsteen,born in the u.s.a.,0.535,0.797,3,-7.533,1,0.0459,0.48,3.42e-05,0.141,0.613,148.835
409,inxs,need you tonight,0.249,0.66,0,-6.905,1,0.0342,0.504,0.0026,0.0891,0.435,149.813
410,irene cara,fame,0.864,0.346,4,-12.918,1,0.0365,0.277,0.00521,0.0514,0.964,105.164
411,tom petty,free fallin',0.396,0.286,6,-11.494,0,0.0283,0.548,8.51e-06,0.122,0.605,105.289
412,foreigner,i want to know what love is - 1999 remaster,0.635,0.167,1,-12.998,1,0.0403,0.858,0.000999,0.213,0.246,83.768
413,david bowie,let's dance - single version [remastered],0.553,0.738,0,-7.963,1,0.0457,0.213,0.0,0.339,0.759,138.602
414,van halen,jump - 2015 remaster,0.352,0.3,8,-9.282,1,0.0301,0.413,0.0,0.1,0.295,58.686
415,bonnie tyler,total eclipse of the heart,0.515,0.496,4,-7.446,1,0.0324,0.265,0.0,0.182,0.651,153.582
416,depeche mode,just can't get enough,0.733,0.579,7,-8.442,1,0.033,0.573,2.11e-05,0.113,0.963,122.729
417,irene cara,flashdance...what a feeling - radio edit,0.659,0.513,0,-7.186,1,0.0293,0.315,0.0,0.283,0.855,133.609
418,bryan adams,heaven,0.661,0.557,4,-8.244,1,0.049,0.262,0.0,0.0557,0.957,125.445
419,prince,raspberry beret,0.507,0.561,7,-10.472,1,0.0353,0.548,0.0,0.59,0.89,120.042
420,bruce springsteen,i'm on fire,0.408,0.436,0,-7.712,1,0.0345,0.805,1.72e-06,0.305,0.474,175.024
421,christopher cross,all right,0.659,0.585,7,-8.189,1,0.0288,0.623,0.000213,0.348,0.784,104.111
422,paul mccartney,ebony & ivory,0.605,0.837,7,-10.059,1,0.114,0.754,4.11e-05,0.3,0.93,157.225
423,the beach boys,kokomo,0.615,0.815,5,-7.128,1,0.0373,0.475,0.0,0.0964,0.765,150.733
424,the police,don't stand so close to me,0.525,0.52,7,-11.725,1,0.0271,0.538,0.00569,0.111,0.523,112.554
425,peter cetera,glory of love,0.708,0.545,6,-7.376,1,0.0502,0.648,0.0,0.121,0.935,135.241
426,cutting crew,(i just) died in your arms,0.721,0.567,10,-9.516,1,0.0389,0.221,0.0,0.465,0.914,116.643
427,prince,kiss,0.628,0.593,0,-7.515,1,0.0279,0.508,0.0,0.104,0.488,114.944
428,the bangles,eternal flame,0.595,0.465,2,-8.412,0,0.026,0.102,0.0,0.0641,0.492,124.991
429,the pointer sisters,i'm so excited,0.168,0.326,5,-9.981,1,0.0324,0.721,0.0006,0.316,0.322,174.794
430,madness,our house,0.523,0.48,3,-10.923,1,0.0492,0.214,0.0,0.0751,0.81,151.4
431,john mellencamp,hurts so good,0.602,0.633,9,-9.756,1,0.0314,0.502,0.0,0.0614,0.931,98.995
432,dionne warwick,"that's what friends are for (with elton john, gladys knight & stevie wonder)",0.49,0.715,7,-5.549,1,0.0476,0.386,0.0,0.311,0.866,130.726
433,reo speedwagon,can't fight this feeling,0.822,0.332,1,-11.369,1,0.0506,0.834,0.0,0.11,0.834,110.802
434,danny wilson,mary's prayer,0.593,0.354,9,-10.269,1,0.0288,0.733,0.0,0.527,0.793,124.63
435,pat benatar,love is a battlefield,0.604,0.51,11,-9.323,0,0.0544,0.903,2.19e-05,0.71,0.916,124.012
436,roxette,listen to your heart,0.604,0.357,6,-11.419,1,0.0269,0.0311,0.0,0.0927,0.638,100.721
437,elton john,sacrifice,0.252,0.507,2,-13.337,1,0.0442,0.00206,0.00057,0.325,0.816,196.494
438,steve miller band,abracadabra,0.66,0.611,0,-10.309,1,0.0392,0.423,1.11e-05,0.107,0.749,113.898
439,kool & the gang,celebration,0.431,0.678,4,-7.945,1,0.0365,0.7,6.37e-06,0.199,0.633,135.919
440,kc & the sunshine band,give it up,0.467,0.783,8,-5.207,1,0.0528,0.139,0.0214,0.08,0.591,160.841
441,the human league,together in electric dreams,0.39,0.31,5,-14.545,1,0.0676,0.794,0.0,0.379,0.584,177.515
442,queen,i want to break free,0.374,0.991,9,-1.101,1,0.0813,0.38,0.000719,0.0929,0.51,95.105
443,reo speedwagon,keep on loving you,0.512,0.658,1,-9.972,0,0.0607,0.232,0.0,0.108,0.752,129.861
444,whitney houston,how will i know,0.574,0.364,11,-9.672,0,0.0365,0.915,9.98e-06,0.137,0.398,112.094
445,cyndi lauper,true colors,0.311,0.0264,0,-21.644,1,0.037,0.731,0.00205,0.156,0.139,120.653
446,eurythmics,there must be an angel (playing with my heart),0.605,0.455,5,-8.903,0,0.0301,0.595,0.0,0.0816,0.678,106.825
447,billy idol,mony mony,0.546,0.818,0,-4.89,1,0.031,0.0487,0.0,0.0983,0.756,138.561
448,bryan adams,it's only love,0.563,0.441,4,-9.902,1,0.0437,0.773,0.0,0.351,0.468,115.168
449,traveling wilburys,end of the line,0.528,0.482,9,-10.939,0,0.027,0.614,0.0,0.549,0.788,95.82
450,backstreet boys,i want it that way,0.653,0.334,9,-6.955,1,0.0313,0.411,3.47e-05,0.123,0.665,119.46
451,natalie imbruglia,torn,0.526,0.436,1,-6.02,1,0.0232,0.0981,7.69e-06,0.118,0.286,96.903
452,spice girls,wannabe,0.731,0.837,9,-8.673,1,0.0477,0.000287,0.15,0.0978,0.832,135.603
453,bryan adams,(everything i do) i do it for you,0.691,0.507,11,-10.23,1,0.0343,0.627,0.0,0.457,0.885,128.518
454,oasis,wonderwall,0.491,0.583,7,-10.964,1,0.0376,0.185,0.0,0.406,0.908,150.566
455,roxette,"it must have been love - from the film ""pretty woman""",0.59,0.355,9,-14.051,1,0.0352,0.48,0.0,0.0585,0.499,133.03
456,sixpence none the richer,kiss me,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171
457,coolio,gangsta's paradise,0.669,0.616,11,-10.776,0,0.033,0.482,0.0,0.179,0.818,130.037
458,nirvana,smells like teen spirit,0.55,0.854,3,-5.968,1,0.036,0.661,0.0,0.112,0.965,159.231
459,spice girls,stop,0.484,0.312,2,-13.522,1,0.0535,0.724,1.65e-06,0.0601,0.598,205.981
460,cher,believe,0.621,0.708,6,-9.057,1,0.0259,0.246,2e-06,0.143,0.624,110.533
461,faith hill,this kiss,0.51,0.488,7,-10.304,1,0.0304,0.256,0.0,0.11,0.649,125.683
